平台,订单ID,达人昵称,达人UID,达人号,粉丝数,带货类型,带货等级,近30日销量,申样时间,领样商品,店铺名称,商品价格,商品ID,商品规格,件数,媒介,创建人,审核时间,同步ERP时间,发货时间
抖音,SPUXBB20250704183111RAP9T14AF,橘子妹妹🔅,"2682446380797783	",CXR0357,57789,视频为主,L4,84691,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:19,,2025-07-10 19:59:47
抖音,SPUXBB20250704183111QRTK2OD5W,兰帝一家品质生活,"110874023753	",landybardo,34718,直播为主,L5,620,2025-07-04 18:31,米莉马莉胶原蛋白保湿润肤纸100抽盒装宝宝柔纸巾云柔巾保湿抽纸,MillyMally亲子旗舰店,59.9,"3746186568856109277	",【配方新升级】100抽x12盒,1,刘丹,赵鑫诺,2025-07-10 19:44:17,,2025-07-10 19:59:47
抖音,SPUXBB20250704183111QWUR32N0E,王爷爷育儿,"609576725528404	",wangleiyisheng,872734,视频为主,L5,2797,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:18,,2025-07-10 19:59:48
抖音,SPUXBB20250704183111R0CKAAWTV,请叫我糖糖,"	",161028349,3298,视频为主,L2,140,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:18,,2025-07-10 19:59:48
抖音,SPUXBB20250704183111R3VBLYWJ4,坦然淡然,"	",tanrandanran58,1302,,L3,0,2025-07-04 18:31,米莉马莉便携手帕湿巾8抽*28包宝宝手口便携式一次性迷你湿面巾,MillyMally亲子旗舰店,9.9,"3702937530157629739	",便携手帕湿巾8抽*28包,1,刘丹,赵鑫诺,2025-07-10 19:44:19,,2025-07-10 19:59:48
抖音,SPUXBB20250704183111RDTH0YORV,娇子家,"	",jiaozi5757,177139,视频为主,L4,2091,2025-07-04 18:31,【3层30抽*15包】米莉马莉婴儿乳霜保湿柔纸巾母婴云柔纸巾,MillyMally亲子旗舰店,19.9,"3753192607556174749	",30抽*15包,1,刘丹,赵鑫诺,2025-07-10 19:44:20,,2025-07-10 19:59:49
抖音,SPUXBB20250704183111QW2I2NKUO,智慧育儿严选好物,"2995488976027294	",72310830699,36454,视频为主,,1077,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:18,,2025-07-10 19:59:49
抖音,SPUXBB20250704183111QSCWMQUK2,琦儿🌟7月20日20点服饰节🔥,"58744272013	",sq19940808,9385209,直播为主,L6,1060060,2025-07-04 18:31,【粉丝专属】米莉马莉100抽*18包起保湿乳霜柔纸巾云柔巾抽纸巾柔润,米莉马莉官方旗舰店,34.9,"3745381539496722708	",3层柔韧100抽*18包,1,刘丹,赵鑫诺,2025-07-10 19:44:18,,2025-07-10 19:59:49
抖音,SPUXBB20250704183111R0ZHI8XUQ,韩国媳妇大敏,"	",dy1b7i2mz45zi,943347,直播为主,L4,7311,2025-07-04 18:31,【共18包】米莉马莉便携湿厕纸女士孕妇可用厕纸湿巾擦屁股男士湿巾,米莉马莉母婴旗舰店,16.9,"3691622254141112702	",140*190mm,1,刘丹,赵鑫诺,2025-07-10 19:44:18,,2025-07-10 19:59:50
抖音,SPUXBB20250704183111R2VAZCZPN,曲靖老村长,"98428588376	",QJLCZ,1611256,直播为主,L5,121180,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:19,,2025-07-10 19:59:50
抖音,SPUXBB20250704183111R57I6FC79,🌈兜兜吖,"	",cxx888886,2074,直播为主,L2,34,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:19,,2025-07-10 19:59:50
抖音,SPUXBB20250704183111RDCQ61C8E,现在就告白,"	",XZJGBGFH,7203401,直播为主,,14,2025-07-04 18:31,【销售爆款】洗脸巾一次性壁挂式洁面巾婴儿绵柔巾加厚悬挂擦脸巾,MillyMally亲子旗舰店,7.9,"3675307187468632092	",【加厚珍珠纹】100抽*1提,1,刘丹,赵鑫诺,2025-07-10 19:44:20,,2025-07-10 19:59:50
抖音,SPUXBB20250704183111RHLW0FPWG,94年萍萍（产后恢复）,"2370974725976231	",71269822469,4293,,L1,0,2025-07-04 18:31,【加厚4层30抽*15包起】米莉马莉婴儿乳霜保湿柔纸巾母婴云柔纸巾,米莉马莉婴童用品旗舰店,19.8,"3706832255759548879	",【尝鲜试用】4层加厚30抽*15包,1,刘丹,赵鑫诺,2025-07-10 19:44:20,,2025-07-10 19:59:51
抖音,SPUXBB20250704183111RHVYCGS0P,是心悦吖💕,"	",22837318425,3940,视频为主,,286,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:20,,2025-07-10 19:59:51
抖音,SPUXBB20250704183111QR8YAS3XX,言言麻麻,"	",26008791670,3754,,,6,2025-07-04 18:31,米莉马莉便携手帕湿巾8抽*28包宝宝手口便携式一次性迷你湿面巾,MillyMally亲子旗舰店,9.9,"3702937530157629739	",便携手帕湿巾8抽*28包,1,刘丹,赵鑫诺,2025-07-10 19:44:17,,2025-07-10 19:59:51
抖音,SPUXBB20250704183111QQV4RAKXO,金宝麻麻,"	",64225378098,13852,视频为主,L4,869,2025-07-04 18:31,米莉马莉胶原蛋白保湿润肤纸110抽*12包宝宝亲肤柔润柔纸巾云柔巾,米莉马莉官方旗舰店,59.9,"3746306714115375116	",【彩箱发货 升级新品】110抽x12包,1,刘丹,赵鑫诺,2025-07-10 19:44:17,,2025-07-10 19:59:52
抖音,SPUXBB20250704183111R0GT02NZR,橙子成长日记,"2245672842036675	",82631900232,3388,视频为主,L1,24,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:18,,2025-07-10 19:59:52
抖音,SPUXBB20250704183111R0V0MUJD4,楚小琪,"	",datingzi766,3245,视频为主,,737,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:18,,2025-07-10 19:59:52
抖音,SPUXBB20250704183111R4IHMHBJT,超市百货购物中心：甄选🍎🍎,"	",HS987987987,11608,,L4,0,2025-07-04 18:31,米莉马莉纯水湿厕纸80抽2包家庭实惠擦屁股可冲散母婴可用湿纸巾,米莉马莉个人护理旗舰店,19.9,"3722001668108321225	",湿厕纸80抽*2包,1,刘丹,赵鑫诺,2025-07-10 19:44:19,,2025-07-10 19:59:52
抖音,SPUXBB20250704183111RBSQ5UD04,柠柠麻麻 带娃记👩u200d🍼,"98295263859	",926074983,14865,视频为主,L4,10846,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:20,,2025-07-10 19:59:53
抖音,SPUXBB20250704183111RCS305FFR,羊羔麻麻,"	",h961192317,162080,视频为主,L3,1425,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:28,,2025-07-10 19:59:53
抖音,SPUXBB20250704183111QPN24VI21,欣研童装工厂,"	",76472176394,8325,,,0,2025-07-04 18:31,米莉马莉哄睡婴儿安抚巾玩偶宝宝新生儿娃娃睡觉手偶公仔毛绒玩具,米莉马莉官方旗舰店,29.9,"3493402608960463273	",狮子安抚巾【升级牙胶款 安抚豆豆绒 安全可啃咬 】,1,刘丹,赵鑫诺,2025-07-10 19:44:26,,2025-07-10 19:59:53
抖音,SPUXBB20250704183111QUO72WZC4,董艳颖,"101870194706	",dyy891111,8573346,直播为主,L6,979444,2025-07-04 18:31,米莉马莉100%棉洗脸巾壁挂式一次性洁面巾悬挂式擦脸巾加厚棉柔巾,米莉马莉个人护理旗舰店,39.9,"3759723811717644965	",100%全棉洗脸巾80抽*3包,1,刘丹,赵鑫诺,2025-07-10 19:44:26,,2025-07-10 19:59:54
抖音,SPUXBB20250704183111QVHFQE1MR,妮宝一家,"85121354784	",ninibaobao4,3316298,直播为主,L6,33071,2025-07-04 18:31,米莉马莉便携手帕湿巾8抽*28包宝宝手口便携式一次性迷你湿面巾,MillyMally亲子旗舰店,9.9,"3702937530157629739	",便携手帕湿巾8抽*28包,1,刘丹,赵鑫诺,2025-07-10 19:44:27,,2025-07-10 19:59:54
抖音,SPUXBB20250704183111QVTHQRTPI,蔡老师育儿严选,"602996927630152	",60439546820,932254,视频为主,L5,6400,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:27,,2025-07-10 19:59:54
抖音,SPUXBB20250704183111RABZ0PR8P,青丝小姐姐真丝家服饰,"	",qsxjj123,316561,直播为主,L6,45165,2025-07-04 18:31,【3层30抽*15包】米莉马莉婴儿乳霜保湿柔纸巾母婴云柔纸巾,MillyMally亲子旗舰店,19.9,"3753192607556174749	",30抽*15包,1,刘丹,赵鑫诺,2025-07-10 19:44:28,,2025-07-10 19:59:54
抖音,SPUXBB20250704183111RDY2O0SGO,小小程的朋友圈,"	",Y9951595,13214,视频为主,L4,2406,2025-07-04 18:31,【3层30抽*15包】米莉马莉婴儿乳霜保湿柔纸巾母婴云柔纸巾,MillyMally亲子旗舰店,19.9,"3753192607556174749	",30抽*15包,1,刘丹,赵鑫诺,2025-07-10 19:44:28,,2025-07-10 19:59:55
抖音,SPUXBB20250704183111QRJ57CVAB,奈奈美妆乐园,"	",47928585180,28197,直播为主,,17709,2025-07-04 18:31,米莉马莉便携手帕湿巾8抽*28包宝宝手口便携式一次性迷你湿面巾,MillyMally亲子旗舰店,9.9,"3702937530157629739	",便携手帕湿巾8抽*28包,1,刘丹,赵鑫诺,2025-07-10 19:44:26,,2025-07-10 19:59:55
抖音,SPUXBB20250704183111QUTV1JG5B,Rika黄老师cbme好物分享,"2430348258707403	",65116980217,1126774,直播为主,L4,23719,2025-07-04 18:31,米莉马莉100%棉洗脸巾壁挂式一次性洁面巾悬挂式擦脸巾加厚棉柔巾,米莉马莉个人护理旗舰店,39.9,"3759723811717644965	",100%全棉洗脸巾80抽*3包,1,刘丹,赵鑫诺,2025-07-10 19:44:27,,2025-07-10 19:59:55
抖音,SPUXBB20250704183111QXG5UDQGZ,张英姐懂婴语,"	",58373501897,1597087,视频为主,,16552,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:27,,2025-07-10 19:59:56
抖音,SPUXBB20250704183111R2ZH4IM20,老村长甄选,"106894073585	",1751610662,68127,直播为主,L4,12427,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:27,,2025-07-10 19:59:56
抖音,SPUXBB20250704183111R3HQS60SJ,幸运鹅,"	",24149909285,6217,直播为主,,9406,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:27,,2025-07-10 19:59:56
抖音,SPUXBB20250704183111R78XKW9SC,李珍妮,"	",59124263,2347984,直播为主,,23420,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:27,,2025-07-10 19:59:57
抖音,SPUXBB20250704183111RATJ04YF5,明月,"	",24268387734,5044,视频为主,,1780,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:28,,2025-07-10 19:59:57
抖音,SPUXBB20250704183111RD1RD7LOT,韩妈的直播间（每天大量上新）,"	",hhlpkids,1080294,直播为主,L5,199327,2025-07-04 18:31,米莉马莉婴儿湿巾10包*10抽/包新生儿宝宝手口专用湿巾便携湿纸巾,米莉马莉官方旗舰店,6.9,"3563219396791005126	",10包*10抽/包【140*180mm】,1,刘丹,赵鑫诺,2025-07-10 19:44:28,,2025-07-10 19:59:57
抖音,SPUXBB20250704183111QQ4V66AD0,抓紧妈咪吖🐰,"75332821395	",JING7873158,135007,视频为主,L4,1805,2025-07-04 18:31,米莉马莉便携手帕湿巾8抽*28包宝宝手口便携式一次性迷你湿面巾,MillyMally亲子旗舰店,9.9,"3702937530157629739	",便携手帕湿巾8抽*28包,1,刘丹,赵鑫诺,2025-07-10 19:44:26,,2025-07-10 19:59:58
抖音,SPUXBB20250704183111RHHD9SZMX,艳阳的三娃生活,"	",yanyangtian521,1786744,直播为主,L4,8261,2025-07-04 18:31,米莉马莉便携手帕湿巾8抽*28包宝宝手口便携式一次性迷你湿面巾,MillyMally亲子旗舰店,9.9,"3702937530157629739	",便携手帕湿巾8抽*28包,1,刘丹,赵鑫诺,2025-07-10 19:44:28,,2025-07-10 19:59:58
抖音,SPUXBB20250704183111RE3X6A0XW,张晨（孕晚期）,"59608403466	",zc940139176,33193,直播为主,L2,5428,2025-07-04 18:31,米莉马莉便携手帕湿巾8抽*28包宝宝手口便携式一次性迷你湿面巾,MillyMally亲子旗舰店,9.9,"3702937530157629739	",便携手帕湿巾8抽*28包,1,刘丹,赵鑫诺,2025-07-10 19:44:28,,2025-07-10 19:59:58
抖音,SPUXBB20250704183111R3D0HS2B7,荔枝来了,"	",46273140937,1415,直播为主,,723,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:27,,2025-07-10 19:59:58
抖音,SPUXBB20250704183111R64L2FBF4,然宝日记,"88310939484	",272197781,3403,视频为主,,962,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:27,,2025-07-10 19:59:59
抖音,SPUXBB20250704183111RAL4TOZ1G,一只小鱼儿🐠,"981199592378573	",sweetfeifei,5183,视频为主,L3,1190,2025-07-04 18:31,米莉马莉80抽10包婴儿湿巾新生手口专用宝宝幼儿童家庭实惠大包装,米莉马莉官方旗舰店,29.9,"3606452610296612692	",80抽*10包,1,刘丹,赵鑫诺,2025-07-10 19:44:28,,2025-07-10 19:59:59
